timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730325151995,207,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-52,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,207,0,16
1730325152021,213,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-53,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,213,0,18
1730325152046,216,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-54,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,216,0,26
1730325152071,207,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-55,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,207,0,16
1730325152096,207,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-56,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,207,0,15
1730325152118,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-57,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,17
1730325152198,222,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-60,text,true,,278,905,11,11,http://10.64.13.61/perfmonitor/v1/applications,222,0,20
1730325152146,274,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-58,text,true,,278,905,11,11,http://10.64.13.61/perfmonitor/v1/applications,274,0,17
1730325152170,250,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-59,text,true,,278,905,11,11,http://10.64.13.61/perfmonitor/v1/applications,250,0,18
1730325152219,207,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-61,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,207,0,16
1730325152246,217,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-62,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,217,0,22
1730325152271,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-63,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,21
1730325152296,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-64,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,19
1730325152321,205,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-65,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,205,0,14
1730325152346,221,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-66,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,221,0,30
1730325152371,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-67,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,16
1730325152393,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-68,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,15
1730325152422,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-69,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,209,0,17
1730325152446,214,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-70,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,214,0,20
1730325152471,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-71,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,18
1730325152496,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-72,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,212,0,19
1730325152520,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-73,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,18
1730325152542,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-74,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,18
1730325152567,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-75,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,20
1730325152593,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-76,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,17
1730325152619,207,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-77,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,207,0,18
